district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500010713,GANGOTRI CROWN,PANDE BUILDCON,441123,"('18.548191600000000','73.944009100000000')",On-Going Project,08/31/2020,02/28/2021,,Residential,2040.0,0.0,2548.0,11/26/2021,,,48.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500013298,MAPLE ENCLAVE,VINOD RAMASHRY TRIPATHI,440016,"('19.204020200000000','73.223455700000000')",On-Going Project,12/31/2018,12/31/2018,10/30/2020,Residential,1109.58,0.0,1109.58,10/12/2017,,,28.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500012857,SHREE RENUKA BUILDERS AND DEVELOPERS,SHREE RENUKA BUILDERS & DEVELOPERS,440008,"('19.089314800000000','72.907805700000000')",On-Going Project,08/15/2022,08/15/2023,,Plots,28800.0,10741.34,,08/16/2017,,,,,36.0,18058.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500012977,NUCLEOUS II,M/S ORANGE AND COTTON REALITIES,441108,"('19.153823100000000','72.875178600000000')",On-Going Project,08/31/2020,08/28/2022,,Plots,11582.0,25500.0,0.0,08/16/2017,,,,,94.0,11582.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500010754,MADHAV NAGARI,AVINASH DEVELOPERS,441002,"('21.206174800000000','79.174824800000000')",On-Going Project,09/30/2018,09/30/2018,,Plots,17900.0,1790.0,9953.0,05/20/2018,,,,,72.0,17900.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500012972,SURVEY NO. 284 JAMTHA,ATUL DIGAMBER CHILLARWAR,440015,"('21.111700200000000','79.072979300000000')",On-Going Project,02/28/2018,03/01/2018,,Plots,9351.97,16200.0,,03/29/2018,,,,,14.0,1621.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500010726,VASANT MALTI,DNYANESHWAR SHANKARRAO GAWANDE,440023,"('18.529280000000000','73.945706000000000')",On-Going Project,12/25/2017,02/26/2018,03/30/2021,Residential,630.0,0.0,630.0,06/05/2018,,,12.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500012585,AVIGHNA VIHAR 2,Concept Builders,441111,"('18.450729800000000','73.891401300000000')",On-Going Project,12/31/2018,12/31/2018,,Others,1001.0,0.0,1068.19,08/26/2017,,,29.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0
Nagpur,P50500013281,VATSALYABHUMI,VEDBHUMI BUILDERS AND DEVELOPERS PVT. LTD,440008,"('21.150653000000000','79.129451600000000')",On-Going Project,10/30/2019,10/30/2019,12/31/2025,Others,21000.0,0.0,0.0,01/31/2024,,,259.0,165.0,0.0,0.0,0.0,0.0,6.0,0.0,44.0,0.0,232.0,0.0
Nagpur,P50500012752,PRABHA CITY,RUPALI GHARDE,441001,"('19.299000100000000','73.223839100000000')",On-Going Project,03/30/2019,12/30/2020,,Residential,4396.83,3053.81,6595.24,08/28/2017,,,43.0,20.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0
Nagpur,P50500013411,AAKAR HERITAGE,AAKAR ERECTORS PVT LTD,440034,"('18.683111200000000','73.797792800000000')",New Project,06/30/2021,,12/31/2023,Others,2291.32,0.0,3319.1,12/28/2023,,,87.0,60.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,2.0,18.0,26.0
Nagpur,P50500012967,SAHAKAR MANDIR SABHAGRUHA,SOUTH EASTERN RAILWAY EMPLOYEES COOPERATIVE HOUSING SOCIETY LTD,440022,"('21.115747200000000','79.044730600000000')",On-Going Project,08/31/2021,08/28/2022,,Commercial,1041.5,0.0,1301.88,08/28/2017,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500011966,NAMAN EXOTIC,NAMAN INFRA,440013,"('18.674252800000000','73.730133100000000')",On-Going Project,08/15/2018,08/15/2018,,Residential,532.43,0.0,940.58,08/29/2017,,1.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,10.0,1.0
Nagpur,P50500013614,DWARKA NAGARI,GOVIND DAULATRAO ZALKE,441110,"('19.416676100000000','72.798370500000000')",New Project,02/28/2021,,,Plots,5748.0,1090.0,0.0,09/18/2017,,,,,25.0,5748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500012593,VISHVA RUKHMA APARTMENT,SHREE GANESH CONSTRUCTION BUILDERS AND DEVELOPERS,440003,"('18.529602900000000','73.876015400000000')",On-Going Project,10/30/2017,12/31/2017,12/31/2018,Residential,486.0,0.0,845.0,08/30/2017,,,13.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500012658,SANKALP ENCLAVE,M/S. N.K. ASSOCIATES,440023,"('19.122734600000000','72.830201300000000')",On-Going Project,12/31/2018,03/31/2019,,Others,394.84,0.0,394.41,08/31/2017,,,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0
Nagpur,P50500013138,The Meadows,Luxora Infrastructure Private Limited,440034,"('19.187229400000000','72.840747300000000')",New Project,09/30/2019,,,Plots,18939.3,3423.64,0.0,01/12/2021,,,,,68.0,8466.61,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500012734,SHREE RAJ TOWER,CHANDRASHEKHAR BABURAO KALE,440030,"('18.975094100000000','73.052334000000000')",New Project,12/30/2021,,,Residential,2050.25,0.0,3135.63,03/13/2024,,,56.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0
Nagpur,P50500013102,Sandesh City Apartment 5,Sandesh Infrastructures Pvt Ltd,441122,"('21.016602500000000','79.029839100000000')",On-Going Project,12/25/2023,12/25/2024,,Plots,71157.49,16333.52,71157.0,01/21/2024,,,,,33.0,9762.05,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500013512,MAHADEV TOWER,MAHADEV MARKEING COMPANY,440018,"('18.516356900000000','73.649837900000000')",On-Going Project,07/31/2018,07/31/2018,07/31/2020,Residential,1038.53,0.0,2071.36,06/14/2019,,,35.0,35.0,0.0,0.0,0.0,1.0,45.0,0.0,8.0,0.0,1.0,1.0
Nagpur,P50500013193,Springfield,Luxora Infrastructure Private Limited,440034,"('21.080199700000000','79.120277200000000')",New Project,09/30/2019,,03/29/2021,Plots,47874.35,4782.92,0.0,02/26/2024,,,,,143.0,23225.93,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500013264,Future City,EKNATH WASUDEV BHANARE,440026,"('19.071708000000000','72.834103800000000')",New Project,12/30/2023,,,Plots,7983.0,800.0,3688.0,06/13/2018,,,,,2.0,1382.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500015593,Rachana Madhukosh Wing C,Rachana construction Co. (Nagpur) Pvt. Ltd.,440022,"('18.596957800000000','73.774811000000000')",New Project,06/30/2019,,12/30/2020,Residential,6017.27,902.59,8830.34,02/07/2022,,,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,6.0,11.0
Nagpur,P50500013844,AASRA,IMPRESSA LAXMI,440013,"('21.175396416993260','79.081760213708550')",New Project,09/30/2020,,,Residential,3000.54,0.0,4347.84,07/12/2021,,,78.0,62.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,1.0,201.0,33.0
Nagpur,P50500013311,MAYURESHWAR COMPLEX,SHREE DEVELOPERS,440024,"('21.129149900000000','79.115336700000000')",On-Going Project,03/30/2015,12/31/2018,,Residential,1081.45,0.0,1079.0,09/18/2017,,,54.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500013424,Royal Pride,Ismail Builders and Developers,440014,"('21.177507400000000','79.089924500000000')",New Project,12/30/2021,,,Residential,1714.21,190.46,2657.02,06/28/2021,,,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,22.0,0.0,22.0
Nagpur,P50500013215,URBAN GLORY WING A,PARADISE INFRASTRUCTURE,441108,"('21.041271000000000','79.054250000000000')",New Project,09/30/2021,,03/30/2024,Residential,6300.0,632.8,4383.0,05/12/2023,,,53.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,5.0,107.0
Nagpur,P50500013852,GANARAYA HEIGHTS-3 CONDOMINIUM,PINNACLE BUILDCON,440024,"('19.183863100000000','72.858432100000000')",On-Going Project,12/31/2018,03/31/2019,,Residential,557.41,0.0,557.41,10/03/2017,,,14.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500015022,NECTAR RESIDENCY-II,JACKPOT DEALER PRIVATE LIMITED,440025,"('18.516356900000000','73.649837900000000')",New Project,09/30/2019,,12/30/2024,Residential,1019.53,549.08,1512.99,05/22/2018,,,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0
Nagpur,P50500013928,SHRI EKDANT ENCLAVE,Moreshwar Narayanrao Bhagat,440030,"('19.455923600000000','73.329603700000000')",New Project,12/31/2019,,12/30/2020,Residential,911.71,911.71,1885.0,03/14/2023,,,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,14.0,1.0
Nagpur,P50500013862,RIO FARMS,Kulkarni Developers,440023,"('21.113117000000000','78.914679800000000')",On-Going Project,12/31/2022,12/30/2023,,Plots,39700.0,3821.93,0.0,02/14/2024,,,,,7.0,4753.63,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500013688,Saraswati Apartment,Abhinandan Ramkrishna Prakashe,440027,"('21.105171100000000','79.085688500000000')",New Project,04/01/2019,,09/30/2020,Residential,554.39,0.0,720.45,04/08/2023,,,14.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500013486,Sahara City Homes Phase 1 Nagpur,SAHARA PRIME CITY LTD,441108,"('19.104497300000000','72.839501100000000')",On-Going Project,06/30/2021,10/30/2026,,Residential,224404.41,27266.04,138957.53,09/27/2017,,9.0,1613.0,964.0,0.0,0.0,0.0,0.0,176.0,0.0,572.0,29.0,751.0,29.0
Nagpur,P50500013663,Govind Enclave,Arun Wamanrao Khadgi,440006,"('18.470636800000000','73.921808900000000')",On-Going Project,02/28/2018,02/28/2018,02/29/2020,Residential,1599.0,0.0,1.25,12/21/2019,,,40.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0
Nagpur,P50500014344,KHADGE ENCLAVE,Wasudeo Wamanrao Khadgi,440013,"('21.181359800000000','79.013647500000000')",On-Going Project,03/31/2018,03/31/2018,,Residential,513.55,0.0,1.0,09/26/2017,,,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0
Nagpur,P50500014260,SHREE RIDDHIE SIDDHIE APARTMENT,SWATI ASHUTOSH NAIK,440022,"('21.115747200000000','79.044730600000000')",New Project,03/30/2019,,09/29/2020,Residential,741.3,0.0,928.91,09/29/2018,,,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500014013,Kanher Nagri Developers,KANHER NAGRI DEVELOPERS,441108,"('19.059983600000000','72.889999000000000')",New Project,09/30/2023,,,Plots,32050.0,5526.0,0.0,04/10/2018,,,,,3010.0,6866.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500013586,Govind Wing In Golden Park - I,GOLDEN PARK-I,440027,"('21.105171100000000','79.085688500000000')",On-Going Project,10/27/2018,12/31/2018,12/30/2021,Others,1897.5,0.0,2279.37,09/05/2021,,,57.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0
Nagpur,P50500013588,ANANT APARTMENT,SHASHIKANT MANOHAR DEO,440022,"('18.981045100000000','72.826757900000000')",On-Going Project,08/17/2019,08/17/2019,,Residential,696.0,0.0,905.77,05/16/2018,,,10.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,1.0
Nagpur,P50500013591,KRISHNA GANGA RESIDENCY,NIRMAL DEVELOPERS AND BUILDERS,440013,"('18.509207500000000','73.911930300000000')",On-Going Project,03/31/2013,03/31/2019,,Mixed (Plots & Buildings),1987.0,19.8,1.25,09/29/2017,,,53.0,39.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0
Nagpur,P50500013510,SHRIRAM PLAZA II,SHRIRAM SM ASSOCIATES BUILDERS AND DEVELOPERS,440034,"('18.486580700000000','73.850110300000000')",On-Going Project,07/04/2018,07/04/2018,12/30/2020,Residential,360.0,4.6,358.59,09/29/2017,,,9.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,1.0,1.0,1.0
Nagpur,P50500015610,GURUDEO DHAM,SHRI GURUDEO REAL ESTATE AND LAND DEVELOPERS,440009,"('17.699359800000000','74.003570900000000')",On-Going Project,03/31/2018,09/30/2019,,Residential,360.0,360.0,468.0,02/08/2021,,,12.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,21.0,1.0,21.0
Nagpur,P50500014128,FLORENCE,BALAJI INFRA,441110,"('19.136792700000000','72.857909500000000')",New Project,03/30/2021,,06/30/2024,Plots,17493.0,3041.0,24623.0,09/29/2021,,,,,107.0,17493.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014017,LANDMARK APARTMENT,SAND N STEEL,440013,"('18.464005600000000','74.578914600000000')",New Project,10/31/2019,,,Residential,1823.0,0.0,4346.0,03/17/2018,,,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,9.0,1.0
Nagpur,P50500013816,MARUTI INFRASTRUCTURE,MARUTI INFRASTRUCTURE,441110,"('19.023175000000000','72.843432400000000')",New Project,12/30/2022,,12/30/2023,Residential,2994.0,1199.25,2245.36,06/19/2023,,,32.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500014261,The Willows,Luxora Infrastructure Private Limited,440034,"('18.989400700000000','73.117516200000000')",New Project,09/30/2019,,,Plots,9375.5,0.0,0.0,01/12/2021,,,,,42.0,296.85,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014030,VED HEIGHTS,PRAFUL NARENDRA DESHMUKH,440010,"('18.496155400000000','73.800734000000000')",New Project,12/30/2022,,12/31/2024,Residential,1337.0,0.0,1791.0,07/09/2023,,,26.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,56.0,1.0
Nagpur,P50500013847,AARNA - 2,Pradeep Subhash Somani,440034,"('21.097704900000000','79.129451600000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,418.05,418.05,544.0,07/07/2018,,,12.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500013707,SDPL Aashray Wanjara,SANDEEP DWELLERS PVT. LTD.,440026,"('21.195343873543095','79.121532008981380')",New Project,12/31/2019,,,Residential,1247.3,220.14,1621.06,01/06/2020,,,62.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0
Nagpur,P50500014322,SANJIRI RESIDENCY,ZUBAIR HAJI BASHIR ASHRAFI,440030,"('19.136792700000000','72.857909500000000')",New Project,05/31/2018,,,Residential,1048.0,382.4,1308.99,11/20/2017,,,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,10.0,5.0
Nagpur,P50500013933,SOMNATH PALACE,JAY SOMNATH BUILDERS AND DEVELOPERS,440034,"('21.075210800000000','79.077215900000000')",On-Going Project,12/01/2015,12/31/2017,,Residential,561.6,0.0,673.92,10/09/2017,,,14.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,6.0,8.0
Nagpur,P50500013934,SOMNATH PALACE 2,JAY SOMNATH BUILDERS AND DEVELOPERS,440034,"('18.665852500000000','73.765436700000000')",On-Going Project,12/31/2017,12/31/2018,09/30/2022,Residential,950.4,0.0,1140.48,10/09/2017,,,22.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,22.0,6.0,16.0
Nagpur,P50500015267,MORESHWAR PARK,MORESHWAR MAROTRAO DHAGE,441108,"('19.034464700000000','73.011009600000000')",New Project,12/31/2019,,,Plots,13500.0,1173.18,,10/11/2017,,,,,5.0,902.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014263,MEGHDOOT ENCLVE E WING,RAGHAV ASSOCIATES,440034,"('18.503532700000000','73.761538600000000')",New Project,10/30/2021,,,Residential,982.16,0.0,1271.99,06/19/2018,,,20.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,32.0,38.0
Nagpur,P50500013820,ONYX,LEVERAGE REALTORS PRIVATE LIMITED,440030,"('18.596957800000000','73.774811000000000')",New Project,11/28/2021,,,Residential,1824.59,0.0,3296.42,08/08/2023,,,56.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,2.0,159.0,47.0
Nagpur,P50500013765,PARADISE HILLS NEW,PARADISE ASSOCIATES,440045,"('19.218330700000000','72.978089700000000')",On-Going Project,08/31/2024,08/28/2025,,Residential,6147.95,1981.0,7264.7,11/17/2021,,,143.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,36.0,1.0,26.0,1.0
Nagpur,P50500013766,HIMALAYA SUNSHINE,HIMALAYA INFRAPROJECTS SUNSHINE,440023,"('21.133137600000000','78.906192100000000')",New Project,12/30/2023,,06/30/2024,Residential,8638.93,4902.89,1766.23,02/08/2024,,,64.0,55.0,0.0,0.0,0.0,0.0,58.0,0.0,145.0,0.0,61.0,0.0
Nagpur,P50500013910,MAXX ELITE,MAXX BUILDER AND DEVELOPERS,440034,"('18.501960600000000','73.933024200000000')",New Project,09/24/2019,,03/23/2021,Residential,2813.42,400.67,3881.0,07/07/2021,,,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,48.0
Nagpur,P50500014472,MAHAKALI NAGAR,SANJAY MANOHARRAO BOBDE,441106,"('18.635430700000000','73.812498400000000')",New Project,12/31/2019,,,Plots,3768.75,278.87,0.0,09/17/2020,,,,,23.0,3768.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500013977,MAHAKALI NAGAR,GAJU BABURAO BISANE,441106,"('18.635430700000000','73.812498400000000')",New Project,12/31/2019,,,Plots,11565.1,1858.2,11565.1,01/04/2023,,,,,68.0,11565.55,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014197,Bhalchandra Apartment,Siddhivinayak Properties,440030,"('18.501053600000000','73.513765400000000')",New Project,03/31/2019,,,Residential,399.0,0.0,519.0,11/01/2018,,,11.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500014247,CHANDRA VITHOBA HEIGHTS,OM SAI RAM INFRAVENTURE,441108,"('19.077873700000000','72.905562700000000')",On-Going Project,12/14/2018,12/14/2018,10/30/2020,Residential,2768.0,437.0,3808.0,11/03/2017,,,56.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,330.0,1.0
Nagpur,P50500014229,AASHRAYA,LAXMI KESHAV ASSOCIATES AND ASTRAL INDIA INVESTMENT,440022,"('21.123733740453370','79.062013349913510')",New Project,09/30/2020,,,Residential,780.36,0.0,1521.55,07/12/2021,,,34.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0
Nagpur,P50500015398,PRERNA ELITE,VARDAN BUILDCON,440030,"('18.529602900000000','73.876015400000000')",New Project,10/30/2021,,,Residential,458.0,0.0,589.0,01/22/2023,,,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500015327,M K HEIGHTS,M K PATIL CONSTRUCTIONS,440015,"('18.588309500000000','73.800734000000000')",New Project,05/31/2018,,,Residential,2677.0,1719.81,5596.33,06/17/2019,,,89.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0
Nagpur,P50500014264,EKDANT ENCLAVE,Siddhivinayak Properties,440030,"('18.557308200000000','73.787838500000000')",New Project,03/31/2019,,,Residential,472.5,0.0,614.0,03/24/2019,,,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500014521,MAHAKALI NAGAR,USHA RAVINDRA SETHIYA,441106,"('18.581746900000000','73.981705600000000')",New Project,12/31/2019,,,Plots,5916.5,464.5,0.0,09/17/2020,,,,,30.0,4500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014283,SUNRISE CITY,JAYSHREE SUNIL THAKKAR,440008,"('21.150653000000000','79.129451600000000')",New Project,10/26/2023,,,Plots,28017.0,2802.96,,05/15/2018,,,,,47.0,28017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014642,SHREE MANSION,SACHIN ASHOK KHARE,440022,"('18.755210500000000','73.444539200000000')",New Project,06/30/2018,,,Residential,738.7,0.0,981.93,08/07/2018,,,3024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,12.0
Nagpur,P50500014272,MAHADEV HEIGHTS,SANJAY MOTUMAL KUKREJA,440014,"('19.201050200000000','72.978535300000000')",On-Going Project,12/31/2017,12/31/2017,,Residential,785.0,785.0,870.0,11/16/2017,,,13.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,5.0,5.0,15.0,61.0
Nagpur,P50500014354,NEEL CITY,RAJAT DEVELOPERS & BUILDERS,441110,"('21.070037299429510','78.957067794412300')",New Project,11/28/2023,,,Residential,6877.09,1319.41,8832.3,02/03/2024,,,146.0,61.0,0.0,0.0,0.0,0.0,27.0,0.0,87.0,2.0,114.0,0.0
Nagpur,P50500014435,SHRIEENIDHI ESTATE ISASANI,SHRI SAI BUILDERS AND DEVELOPERS,440019,"('18.696218400000000','73.783086100000000')",New Project,09/30/2020,,03/30/2022,Plots,30600.0,3060.0,30600.0,10/27/2023,,,,,10.0,1284.3899999999999,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014883,FIVE ELEMENTS-VAYU,LOKESH SATYAPRAKASH SHIVHARE,440034,"('19.037167200000000','73.309704900000000')",New Project,12/31/2018,,,Residential,474.72,0.0,569.66,04/16/2019,,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0
Nagpur,P50500014564,REYANSH RESIDENCY-3,METRO REALITIES & INFRAVENTURES PVT LTD,441203,"('18.830552300000000','73.284644500000000')",New Project,02/28/2023,,,Plots,24016.8,4443.89,35251.25,11/29/2017,,,,,211.0,24016.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500015627,Aadhar Apartment,GIRDHAR DHARAMSIBHAI RATHOD,440002,"('19.052112200000000','72.900668000000000')",New Project,05/31/2018,,,Residential,900.0,900.0,1340.9,02/14/2018,,,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,60.0,0.0
Nagpur,P50500014357,GALAXY MANSION VII,GALAXY ASSOCIATES,440034,"('19.128274300000000','72.867709200000000')",New Project,09/30/2020,,,Residential,1109.98,0.0,1554.0,08/06/2021,,,26.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500014447,SATYAM ROSE,OMSATYAM BUILDCONS PRIVATE LIMITED,441203,"('21.211556000000000','79.068687000000000')",New Project,12/30/2021,,,Residential,2375.71,0.0,3848.48,12/23/2019,,,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0
Nagpur,P50500017222,POORVA HEIGHTS,Anand Ravindra Palandurkar & Amol Ravindra Palandurkar,440023,,New Project,12/31/2019,,11/30/2026,Residential,471.54,0.0,633.92,03/10/2023,,,32.0,2.0,0.0,0.0,0.0,1.0,1.0,25.0,5.0,1.0,1.0,1.0
Nagpur,P50500014537,SHIV GALAXY,SANJAY MADHUKARRAO MAHAKALKAR,440013,"('19.405448600000000','72.830869200000000')",New Project,06/30/2021,,,Residential,1400.0,0.0,1425.0,04/15/2023,,,21.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,5.0
Nagpur,P50500015077,Orange City Wholesale Market-Phase I,ORANGE CITY MALLS PRIVATE LIMITED,440008,"('21.154000000000000','79.125000000000000')",New Project,12/30/2023,,,Commercial,16234.25,0.0,35228.37,04/23/2019,,,750.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500014989,Orange City Wholesale Market - Phase II,ORANGE CITY MALLS PRIVATE LIMITED,440008,"('21.154000000000000','79.125000000000000')",New Project,12/30/2023,,,Commercial,16234.25,0.0,7545.5,04/23/2019,,,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nagpur,P50500014953,Orange City Wholesale Market- Phase III,ORANGE CITY MALLS PRIVATE LIMITED,440008,"('18.596140000000000','73.895733000000000')",New Project,12/30/2023,,,Commercial,16234.25,0.0,6753.42,04/23/2019,,,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nagpur,P50500015076,Orange City Wholesale Market - Phase IV,ORANGE CITY MALLS PRIVATE LIMITED,440008,"('19.071708000000000','72.834103800000000')",New Project,12/30/2023,,,Commercial,16234.25,0.0,5025.13,04/23/2019,,,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Nagpur,P50500014586,DWARKA CITY,M/s 3 M INFRA,441203,"('18.981045100000000','72.826757900000000')",New Project,03/31/2018,,,Plots,13747.98,2123.41,0.0,09/12/2018,,,,,12.0,2341.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500014519,SHREEYOGIRAJ ASHISH,SHREEYOGIRAJ HOMEMAKERS PRIVATE LIMITED,440022,"('21.115747200000000','79.044730600000000')",New Project,12/30/2020,,,Residential,742.3,0.0,928.91,04/20/2023,,,14.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0
Nagpur,P50500014873,GAARVA,LAXMI KESHAV CONSTRUCTIONS AND OASIS BUILDCON,440022,"('21.114096687070390','79.062737987374930')",New Project,03/30/2021,,,Residential,594.0,0.0,991.0,07/12/2021,,,11.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,28.0,7.0
